school,close_contact,postive_case,suspected_case,total,date,cluster,listed
Archer HS,1.0,,,1.0,8/21/2020,Archer,yes
Archer HS,1.0,0.0,0.0,1.0,8/31/2020,Archer,yes
Archer HS,,,1.0,1.0,8/18/2020,Archer,yes
Archer HS,1.0,,,1.0,8/20/2020,Archer,yes
Archer HS,1.0,,,1.0,8/25/2020,Archer,yes
Archer HS,0.0,0.0,1.0,1.0,9/1/2020,Archer,yes
Archer HS,1.0,0.0,2.0,3.0,9/2/2020,Archer,yes
Archer HS,2.0,0.0,1.0,3.0,9/3/2020,Archer,yes
Baggett ES,1.0,,,1.0,8/21/2020,Discovery,yes
Baggett ES,1.0,,,1.0,8/18/2020,Discovery,yes
Baggett ES,,,3.0,3.0,8/26/2020,Discovery,yes
Baggett ES,4.0,0.0,1.0,5.0,9/1/2020,Discovery,yes
Baggett ES,7.0,1.0,1.0,9.0,9/2/2020,Discovery,yes
Bethesda ES,1.0,,,1.0,8/21/2020,Berkmar,yes
Bethesda ES,1.0,,,1.0,8/20/2020,Berkmar,yes
Bethesda ES,1.0,0.0,1.0,2.0,9/3/2020,Berkmar,yes
Creekland MS,1.0,,1.0,2.0,8/21/2020,Collins Hill,yes
Creekland MS,1.0,0.0,0.0,1.0,8/28/2020,Collins Hill,yes
Creekland MS,6.0,0.0,1.0,7.0,9/1/2020,Collins Hill,yes
Creekland MS,2.0,0.0,1.0,3.0,9/3/2020,Collins Hill,yes
Ferguson ES,,,1.0,1.0,8/21/2020,Meadowcreek,yes
GIVE East,1.0,,,1.0,8/21/2020,Other,yes
GIVE East,1.0,,1.0,2.0,8/24/2020,Other,yes
GIVE East,1.0,0.0,0.0,1.0,8/28/2020,Other,yes
Grace Snell MS,1.0,,,1.0,8/21/2020,South Gwinnett,yes
Grace Snell MS,1.0,,,1.0,8/20/2020,South Gwinnett,yes
Grace Snell MS,20.0,0.0,1.0,21.0,9/1/2020,South Gwinnett,yes
Grace Snell MS,2.0,0.0,0.0,2.0,9/2/2020,South Gwinnett,yes
Grace Snell MS,1.0,0.0,0.0,1.0,9/3/2020,South Gwinnett,yes
Graves ES,1.0,,,1.0,8/21/2020,Meadowcreek,yes
Graves ES,1.0,0.0,0.0,1.0,8/28/2020,Meadowcreek,yes
Graves ES,1.0,,,1.0,8/25/2020,Meadowcreek,yes
Graves ES,0.0,0.0,1.0,1.0,9/1/2020,Meadowcreek,yes
Harbins ES,1.0,,1.0,2.0,8/21/2020,Archer,yes
Harbins ES,1.0,0.0,0.0,1.0,8/31/2020,Archer,yes
Harbins ES,,,1.0,1.0,8/18/2020,Archer,yes
Harbins ES,2.0,,,2.0,8/20/2020,Archer,yes
Harbins ES,2.0,,,2.0,8/25/2020,Archer,yes
Harbins ES,3.0,,,3.0,8/26/2020,Archer,yes
Harbins ES,1.0,0.0,0.0,1.0,9/1/2020,Archer,yes
Harbins ES,4.0,0.0,0.0,4.0,9/2/2020,Archer,yes
Harbins ES,1.0,0.0,0.0,1.0,9/3/2020,Archer,yes
Harris ES,1.0,,,1.0,8/21/2020,Duluth,added
Hull MS,,1.0,2.0,3.0,8/21/2020,Peachtree Ridge,yes
Hull MS,1.0,0.0,0.0,1.0,8/31/2020,Peachtree Ridge,yes
Hull MS,,,2.0,2.0,8/25/2020,Peachtree Ridge,yes
Ivy Creek ES,1.0,,,1.0,8/21/2020,Mill Creek,yes
Ivy Creek ES,0.0,0.0,1.0,1.0,8/28/2020,Mill Creek,yes
Ivy Creek ES,0.0,0.0,1.0,1.0,8/31/2020,Mill Creek,yes
Ivy Creek ES,1.0,,,1.0,8/19/2020,Mill Creek,yes
Ivy Creek ES,,1.0,,1.0,8/25/2020,Mill Creek,yes
Ivy Creek ES,0.0,0.0,1.0,1.0,9/1/2020,Mill Creek,yes
Jordan MS,,1.0,,1.0,8/21/2020,Central Gwinnett,yes
Jordan MS,2.0,,2.0,4.0,8/19/2020,Central Gwinnett,yes
Jordan MS,,1.0,2.0,3.0,8/25/2020,Central Gwinnett,yes
Jordan MS,1.0,0.0,2.0,3.0,9/1/2020,Central Gwinnett,yes
Jordan MS,0.0,0.0,4.0,4.0,9/3/2020,Central Gwinnett,yes
Kanoheda ES,,,1.0,1.0,8/21/2020,Berkmar,yes
Kanoheda ES,1.0,0.0,1.0,2.0,8/28/2020,Berkmar,yes
Kanoheda ES,2.0,,,2.0,8/18/2020,Berkmar,yes
Kanoheda ES,,,1.0,1.0,8/20/2020,Berkmar,yes
Kanoheda ES,0.0,0.0,1.0,1.0,9/1/2020,Berkmar,yes
Kanoheda ES,1.0,0.0,0.0,1.0,9/2/2020,Berkmar,yes
Lanier HS,,,2.0,2.0,8/21/2020,Lanier,yes
Lanier HS,1.0,0.0,0.0,1.0,8/28/2020,Lanier,yes
Lilburn ES,1.0,,,1.0,8/21/2020,Meadowcreek,yes
Lilburn ES,1.0,,,1.0,8/26/2020,Meadowcreek,yes
Lilburn ES,0.0,0.0,1.0,1.0,9/3/2020,Meadowcreek,yes
Magill ES,3.0,3.0,,6.0,8/21/2020,South Gwinnett,yes
Magill ES,5.0,,,5.0,8/24/2020,South Gwinnett,yes
Magill ES,1.0,0.0,0.0,1.0,9/3/2020,South Gwinnett,yes
Meadowcreek HS,,,2.0,2.0,8/21/2020,Meadowcreek,yes
Meadowcreek HS,,,1.0,1.0,8/24/2020,Meadowcreek,yes
Meadowcreek HS,1.0,0.0,0.0,1.0,8/28/2020,Meadowcreek,yes
Meadowcreek HS,0.0,0.0,2.0,2.0,8/31/2020,Meadowcreek,yes
Meadowcreek HS,1.0,,1.0,2.0,8/18/2020,Meadowcreek,yes
Meadowcreek HS,,,2.0,2.0,8/19/2020,Meadowcreek,yes
