school,close_contact,postive_case,suspected_case,total,date,cluster,listed
Alcova ES,,,1.0,1.0,8/21/2020,Dacula,yes
Alcova ES,,,1.0,1.0,8/24/2020,Dacula,yes
Alcova ES,,,,0.0,8/18/2020,Dacula,yes
Alcova ES,,,,0.0,8/19/2020,Dacula,yes
Alcova ES,,,1.0,1.0,8/20/2020,Dacula,yes
Alcova ES,,,1.0,1.0,8/25/2020,Dacula,yes
Alcova ES,,,1.0,1.0,8/26/2020,Dacula,yes
Alcova ES,0.0,0.0,3.0,3.0,9/2/2020,Dacula,yes
Alcova ES,0.0,0.0,6.0,6.0,9/3/2020,Dacula,yes
Alford ES,,,,0.0,8/21/2020,Discovery,added
Alford ES,,,,0.0,8/24/2020,Discovery,added
Alford ES,,,,0.0,8/18/2020,Discovery,added
Alford ES,,,,0.0,8/19/2020,Discovery,added
Alford ES,,,,0.0,8/20/2020,Discovery,added
Alford ES,,,,0.0,8/25/2020,Discovery,added
Alford ES,,,,0.0,8/26/2020,Discovery,added
Alford ES,1.0,0.0,0.0,1.0,9/2/2020,Discovery,added
Alford ES,0.0,0.0,0.0,0.0,9/3/2020,Discovery,added
Anderson-Livsey ES,,1.0,,1.0,8/21/2020,Shiloh,added
Anderson-Livsey ES,,,,0.0,8/24/2020,Shiloh,added
Anderson-Livsey ES,,,,0.0,8/18/2020,Shiloh,added
Anderson-Livsey ES,,1.0,,1.0,8/19/2020,Shiloh,added
Anderson-Livsey ES,,1.0,,1.0,8/20/2020,Shiloh,added
Anderson-Livsey ES,,1.0,,1.0,8/25/2020,Shiloh,added
Anderson-Livsey ES,,1.0,,1.0,8/26/2020,Shiloh,added
Anderson-Livsey ES,0.0,0.0,0.0,0.0,9/2/2020,Shiloh,added
Anderson-Livsey ES,0.0,0.0,0.0,0.0,9/3/2020,Shiloh,added
Annistown ES,1.0,,,1.0,8/21/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/24/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/18/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/19/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/20/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/25/2020,Shiloh,yes
Annistown ES,1.0,,,1.0,8/26/2020,Shiloh,yes
Annistown ES,0.0,0.0,1.0,1.0,9/2/2020,Shiloh,yes
Annistown ES,0.0,0.0,1.0,1.0,9/3/2020,Shiloh,yes
Arcado ES,1.0,,1.0,2.0,8/21/2020,Parkview,yes
Arcado ES,1.0,,,1.0,8/24/2020,Parkview,yes
Arcado ES,1.0,,1.0,2.0,8/18/2020,Parkview,yes
Arcado ES,1.0,,1.0,2.0,8/19/2020,Parkview,yes
Arcado ES,1.0,,1.0,2.0,8/20/2020,Parkview,yes
Arcado ES,1.0,,,1.0,8/25/2020,Parkview,yes
Arcado ES,1.0,,,1.0,8/26/2020,Parkview,yes
Arcado ES,0.0,0.0,2.0,2.0,9/2/2020,Parkview,yes
Arcado ES,0.0,0.0,2.0,2.0,9/3/2020,Parkview,yes
Archer HS,3.0,,1.0,4.0,8/21/2020,Archer,yes
Archer HS,3.0,,,3.0,8/24/2020,Archer,yes
Archer HS,1.0,,1.0,2.0,8/18/2020,Archer,yes
Archer HS,1.0,,1.0,2.0,8/19/2020,Archer,yes
Archer HS,2.0,,1.0,3.0,8/20/2020,Archer,yes
Archer HS,4.0,,,4.0,8/25/2020,Archer,yes
Archer HS,4.0,,,4.0,8/26/2020,Archer,yes
Archer HS,5.0,0.0,3.0,8.0,9/2/2020,Archer,yes
Archer HS,7.0,0.0,4.0,11.0,9/3/2020,Archer,yes
Baggett ES,2.0,,,2.0,8/21/2020,Discovery,yes
Baggett ES,2.0,,,2.0,8/24/2020,Discovery,yes
Baggett ES,1.0,,,1.0,8/18/2020,Discovery,yes
Baggett ES,1.0,,,1.0,8/19/2020,Discovery,yes
Baggett ES,1.0,,,1.0,8/20/2020,Discovery,yes
Baggett ES,2.0,,,2.0,8/25/2020,Discovery,yes
Baggett ES,2.0,,3.0,5.0,8/26/2020,Discovery,yes
Baggett ES,5.0,0.0,4.0,9.0,9/1/2020,Discovery,yes
Baggett ES,12.0,1.0,4.0,17.0,9/2/2020,Discovery,yes
Baggett ES,11.0,1.0,2.0,14.0,9/3/2020,Discovery,yes
Baldwin ES,,,,0.0,8/21/2020,Norcross,added
Baldwin ES,,,,0.0,8/24/2020,Norcross,added
Baldwin ES,,1.0,,1.0,8/18/2020,Norcross,added
Baldwin ES,,,,0.0,8/19/2020,Norcross,added
Baldwin ES,,,,0.0,8/20/2020,Norcross,added
Baldwin ES,,,,0.0,8/25/2020,Norcross,added
Baldwin ES,,,,0.0,8/26/2020,Norcross,added
Baldwin ES,0.0,0.0,0.0,0.0,9/1/2020,Norcross,added
Baldwin ES,0.0,0.0,0.0,0.0,9/2/2020,Norcross,added
Baldwin ES,0.0,0.0,2.0,2.0,9/3/2020,Norcross,added
Bay Creek MS,,,,0.0,8/21/2020,Grayson,added
Bay Creek MS,,,,0.0,8/24/2020,Grayson,added
Bay Creek MS,,,,0.0,8/18/2020,Grayson,added
Bay Creek MS,,,,0.0,8/19/2020,Grayson,added
Bay Creek MS,,,,0.0,8/20/2020,Grayson,added
Bay Creek MS,,,1.0,1.0,8/25/2020,Grayson,added
Bay Creek MS,,,1.0,1.0,8/26/2020,Grayson,added
Bay Creek MS,0.0,0.0,3.0,3.0,9/1/2020,Grayson,added
Bay Creek MS,1.0,0.0,1.0,2.0,9/2/2020,Grayson,added
Bay Creek MS,1.0,0.0,3.0,4.0,9/3/2020,Grayson,added
Beaver Ridge ES,3.0,1.0,,4.0,8/21/2020,Norcross,added
Beaver Ridge ES,2.0,1.0,,3.0,8/24/2020,Norcross,added
Beaver Ridge ES,3.0,,,3.0,8/18/2020,Norcross,added
Beaver Ridge ES,3.0,1.0,,4.0,8/19/2020,Norcross,added
Beaver Ridge ES,3.0,1.0,,4.0,8/20/2020,Norcross,added
Beaver Ridge ES,,1.0,,1.0,8/25/2020,Norcross,added
Beaver Ridge ES,,,,0.0,8/26/2020,Norcross,added
Beaver Ridge ES,0.0,0.0,1.0,1.0,9/1/2020,Norcross,added
Beaver Ridge ES,0.0,0.0,1.0,1.0,9/2/2020,Norcross,added
Beaver Ridge ES,0.0,0.0,1.0,1.0,9/3/2020,Norcross,added
Benefield ES,,,,0.0,8/21/2020,Discovery,yes
Benefield ES,,,,0.0,8/24/2020,Discovery,yes
Benefield ES,,,,0.0,8/18/2020,Discovery,yes
Benefield ES,,,,0.0,8/19/2020,Discovery,yes
Benefield ES,,,,0.0,8/20/2020,Discovery,yes
Benefield ES,,,,0.0,8/25/2020,Discovery,yes
Benefield ES,,,,0.0,8/26/2020,Discovery,yes
Benefield ES,1.0,1.0,2.0,4.0,9/1/2020,Discovery,yes
Benefield ES,1.0,0.0,2.0,3.0,9/2/2020,Discovery,yes
Benefield ES,1.0,0.0,0.0,1.0,9/3/2020,Discovery,yes
Berkeley Lake ES,1.0,,,1.0,8/21/2020,Duluth,added
Berkeley Lake ES,,,,0.0,8/24/2020,Duluth,added
Berkeley Lake ES,2.0,,,2.0,8/18/2020,Duluth,added
Berkeley Lake ES,2.0,,,2.0,8/19/2020,Duluth,added
Berkeley Lake ES,2.0,,,2.0,8/20/2020,Duluth,added
Berkeley Lake ES,,,,0.0,8/25/2020,Duluth,added
Berkeley Lake ES,,,,0.0,8/26/2020,Duluth,added
Berkeley Lake ES,1.0,0.0,4.0,5.0,9/1/2020,Duluth,added
Berkeley Lake ES,2.0,0.0,8.0,10.0,9/2/2020,Duluth,added
Berkeley Lake ES,2.0,0.0,8.0,10.0,9/3/2020,Duluth,added
Berkmar HS,2.0,1.0,2.0,5.0,8/21/2020,Berkmar,yes
Berkmar HS,1.0,,1.0,2.0,8/24/2020,Berkmar,yes
Berkmar HS,1.0,1.0,2.0,4.0,8/18/2020,Berkmar,yes
Berkmar HS,1.0,1.0,2.0,4.0,8/19/2020,Berkmar,yes
Berkmar HS,2.0,1.0,2.0,5.0,8/20/2020,Berkmar,yes
Berkmar HS,1.0,,1.0,2.0,8/25/2020,Berkmar,yes
Berkmar HS,2.0,,1.0,3.0,8/26/2020,Berkmar,yes
Berkmar HS,73.0,1.0,3.0,77.0,9/1/2020,Berkmar,yes
